,collectionsCount,subscribersCount,entriesCount,viewsCount
d3.js,688,6128,11,8974
Meteor.js,848,4493,24,19344
Ember.js,260,3455,10,11782
Angular.js,15692,28530,230,318873
Backbone.js,151,5821,5,3978
React.js,47617,45185,726,915804
Vue.js,68222,39886,730,1403066
Underscore.js,399,4270,12,7084
Sea.js,397,6461,7,6001
