,collectionsCount,subscribersCount,entriesCount,viewsCount
JavaScript,222100,88872,2412,3548736
Java,103821,65303,1493,1590201
Swift,28498,30317,1180,928488
Python,45234,45100,1007,930588
PHP,15376,25143,375,329720
Objective-C,12250,24198,337,282144
Go,5321,12881,179,145851
C++,3495,18404,101,75019
C,2213,14870,50,52019
Ruby,1543,6711,40,45162
Scala,282,3928,17,7468
