,collectionsCount,subscribersCount,entriesCount,viewsCount
Python,45234,45100,1007,930588
C,2213,14870,50,52019
PHP,15376,25143,375,329720
C++,3495,18404,101,75019
Go,5321,12881,179,145851
Ruby,1543,6711,40,45162
Java,103821,65303,1493,1590201
Scala,282,3928,17,7468
Swift,28498,30317,1180,928488
Objective-C,12250,24198,337,282144
JavaScript,222100,88872,2412,3548736
